ANDFIELD COORDS 
[3 26468]
2.683286686250730968e-01 3.987532507013584193e-01 2.978699851632538032e-01
2.656190624101616438e-01 4.067168494549395774e-01 3.070231671331374868e-01
2.654538425190085538e-01 3.980593271585152748e-01 3.099640811956633213e-01
2.679982288427668058e-01 3.990836904836647103e-01 3.092701576528201768e-01
2.625129284564827192e-01 4.025533081978805439e-01 3.643544693632755904e-01
2.511127559669164011e-01 4.039081113053362704e-01 3.894018048620909722e-01
2.586798269817299767e-01 4.150439319690576445e-01 5.109871227616835654e-01
2.692869439937612963e-01 4.025202642196499259e-01 4.891087047751853101e-01
7.459793739487884379e-01 4.199674847254210586e-01 5.513172981921639071e-01
7.479620126426260729e-01 4.252545212423214371e-01 5.517468699091621076e-01
7.502420471405393254e-01 4.122351938194542820e-01 5.602391723144333202e-01
7.487220241419305644e-01 4.222805632015649291e-01 5.533329808642322156e-01
2.557719568974348157e-01 4.080716525623953039e-01 6.055755104468537597e-01
2.602989819150307027e-01 4.032141877624930704e-01 6.068311816196175768e-01
2.683286686250730968e-01 4.179518020533528055e-01 6.053442025992392672e-01
2.657512383230842268e-01 4.085342682576240669e-01 6.289045590776765060e-01
2.678660529298443338e-01 4.089968839528528299e-01 6.365046740707207551e-01
2.554084731368979067e-01 4.268075882191608716e-01 6.682268931721228045e-01
7.487550681201611269e-01 4.270058520885446351e-01 6.683260251068146029e-01
7.454837142753290014e-01 4.287241389565372707e-01 6.804531651174547946e-01
2.503527444676119096e-01 4.191083412914247686e-01 7.122084281970875175e-01
2.572919798960436322e-01 4.194387810737310041e-01 7.127371318487775165e-01
2.666764697135417528e-01 4.138213047745243900e-01 7.175945966486797500e-01
2.588450468728831222e-01 4.161343832506683160e-01 7.157441338677645870e-01
2.618520488918701927e-01 4.083029604100096854e-01 7.281025817260191602e-01
2.690886801243775328e-01 4.040733311964894159e-01 7.433358556903382208e-01
2.526988669219865091e-01 4.149117560561351170e-01 7.391062264768180068e-01
2.665442938006192808e-01 4.113099624289967560e-01 2.552432532457447611e-01
2.725913418168239843e-01 4.062542337597108144e-01 2.589772227858055942e-01
2.570937160266598687e-01 4.281623913266165982e-01 3.775059726990651621e-01
2.565650123749698697e-01 4.300458980857623237e-01 3.847426039315725577e-01
2.637355556510159182e-01 4.229083987879468931e-01 4.827113905897358892e-01
2.626781483476358647e-01 4.377781889917291003e-01 4.999751443195749046e-01
7.500437832711555064e-01 4.327555043006737767e-01 5.168061673280969215e-01
2.520379873573739271e-01 4.293189305646885612e-01 5.166806002108206286e-01
2.600676740674163212e-01 4.244614657647863831e-01 5.154777994032258004e-01
7.357687846755246452e-01 4.374477492094228093e-01 5.380336189434518079e-01
7.461445938399415834e-01 4.358946822325833192e-01 5.461624375881861670e-01
7.468385173827847279e-01 4.304093818462992327e-01 5.503259788452451451e-01
2.643303472591672643e-01 4.253866971552439091e-01 6.027006843407891612e-01
2.625129284564827192e-01 4.269728081103140171e-01 6.082190287053038658e-01
2.602989819150307027e-01 4.303102499116073787e-01 6.131095374834366618e-01
2.519388554226820176e-01 4.349364068638951752e-01 6.330020123782742481e-01
7.378505553040541898e-01 4.308719975415280512e-01 6.653851110442888794e-01
2.506170962934569646e-01 4.290876227170741242e-01 6.747035129053257085e-01
7.481272325337792184e-01 4.300458980857623237e-01 6.761574479474732335e-01
2.542188899205953256e-01 4.280632593919246887e-01 6.716965108863386380e-01
7.437654274073364213e-01 4.290876227170741242e-01 6.944307679090100383e-01
7.433028117121076583e-01 4.291537106735354157e-01 6.908620182601024062e-01
7.446576148195633849e-01 4.283606551960003617e-01 6.876237083935008432e-01
2.572258919395823962e-01 4.237014542654819471e-01 7.108536250896317910e-01
7.499776953146943814e-01 4.253866971552439091e-01 7.123736480882406630e-01
7.419149646264213693e-01 4.295832823905335607e-01 7.131006156093144810e-01
2.615876970660251377e-01 4.157708994901314070e-01 7.291930330076298317e-01
2.556067370062816702e-01 4.399590915549504988e-01 2.559041328103572877e-01
2.531614826172152721e-01 4.422060820746331333e-01 2.616868290007170472e-01
2.770522788779586909e-01 4.299467661510704697e-01 2.999517557917832922e-01
2.714678465569826948e-01 4.574063120607216315e-01 3.652466567755024984e-01
2.521701632702963991e-01 4.605124460144005560e-01 4.177865821621996600e-01
2.542849778770565616e-01 4.514253520009781084e-01 4.281623913266165982e-01
7.482924524249323639e-01 4.462374474187696394e-01 5.152200563730268135e-01
2.520049433791433091e-01 4.523836273696663079e-01 5.137958609112868169e-01
2.546815056158240886e-01 4.504340326540592909e-01 5.183757562940517483e-01
7.342157176986852107e-01 4.397608276855667353e-01 5.376040472264537184e-01
7.352400810238346462e-01 4.425365218569394243e-01 5.368770797053799004e-01
7.427080201039564233e-01 4.388686402733397718e-01 5.425275999828171880e-01
2.530293067042927446e-01 4.373816612529615733e-01 5.491033516507118906e-01
